timestamp,valor
1750175154.5231273,"ID: 1721 | Timestamp: 1995588 | Intervalo: 1151 ms | RadioLatency: 9 ms | Temperatura: 24.10 C | Pressao: 1023.21 hPa | Accel [X,Y,Z]: 1.010, 0.022, -0.072 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175155.5574844,"ID: 1722 | Timestamp: 1996616 | Intervalo: 1028 ms | RadioLatency: 7 ms | Temperatura: 24.10 C | Pressao: 1023.22 hPa | Accel [X,Y,Z]: 1.015, 0.021, -0.067 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175156.5808883,"ID: 1723 | Timestamp: 1997632 | Intervalo: 1016 ms | RadioLatency: 8 ms | Temperatura: 24.10 C | Pressao: 1023.27 hPa | Accel [X,Y,Z]: 1.005, 0.015, -0.061 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175157.656008,"ID: 1724 | Timestamp: 1998700 | Intervalo: 1068 ms | RadioLatency: 7 ms | Temperatura: 24.10 C | Pressao: 1023.21 hPa | Accel [X,Y,Z]: 1.010, 0.018, -0.065 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175159.02205,"ID: 1725 | Timestamp: 2000058 | Intervalo: 1358 ms | RadioLatency: 9 ms | Temperatura: 24.10 C | Pressao: 1023.25 hPa | Accel [X,Y,Z]: 1.011, 0.020, -0.066 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175160.0825565,"ID: 1726 | Timestamp: 2001110 | Intervalo: 1052 ms | RadioLatency: 8 ms | Temperatura: 24.10 C | Pressao: 1023.19 hPa | Accel [X,Y,Z]: 1.009, 0.012, -0.068 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175161.378783,"ID: 1727 | Timestamp: 2002397 | Intervalo: 1287 ms | RadioLatency: 8 ms | Temperatura: 24.10 C | Pressao: 1023.26 hPa | Accel [X,Y,Z]: 1.015, 0.018, -0.076 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175162.3528192,"ID: 1728 | Timestamp: 2003365 | Intervalo: 968 ms | RadioLatency: 7 ms | Temperatura: 24.10 C | Pressao: 1023.22 hPa | Accel [X,Y,Z]: 1.011, 0.023, -0.069 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175163.441458,"ID: 1729 | Timestamp: 2004444 | Intervalo: 1079 ms | RadioLatency: 9 ms | Temperatura: 24.10 C | Pressao: 1023.21 hPa | Accel [X,Y,Z]: 1.007, 0.016, -0.069 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175164.7284436,"ID: 1730 | Timestamp: 2005723 | Intervalo: 1279 ms | RadioLatency: 8 ms | Temperatura: 24.10 C | Pressao: 1023.26 hPa | Accel [X,Y,Z]: 1.012, 0.018, -0.066 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
1750175165.723736,"ID: 1731 | Timestamp: 2006713 | Intervalo: 990 ms | RadioLatency: 6 ms | Temperatura: 24.10 C | Pressao: 1023.25 hPa | Accel [X,Y,Z]: 1.016, 0.019, -0.074 | Gyro [X,Y,Z] (�/s): ovf, -0.00, ovf"
