timestamp,valor
1748355686.814734,"ID: 2051 | Temperatura: 26.30 C | Pressao: 1018.83 hPa | Accel [X,Y,Z]: -0.079, -0.140, 0.914 | Gyro [X,Y,Z] (°/s): -0.88, -2.18, ovf"
1748355687.9443023,"ID: 2052 | Temperatura: 26.40 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.079, -0.138, 0.912 | Gyro [X,Y,Z] (°/s): -0.81, -2.24, ovf"
1748355689.0728407,"ID: 2053 | Temperatura: 26.30 C | Pressao: 1018.84 hPa | Accel [X,Y,Z]: -0.087, -0.133, 0.915 | Gyro [X,Y,Z] (°/s): -0.89, -2.15, ovf"
1748355690.2013865,"ID: 2054 | Temperatura: 26.30 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.080, -0.133, 0.920 | Gyro [X,Y,Z] (°/s): -1.08, -2.31, ovf"
1748355691.3311017,"ID: 2055 | Temperatura: 26.30 C | Pressao: 1018.88 hPa | Accel [X,Y,Z]: -0.081, -0.139, 0.900 | Gyro [X,Y,Z] (°/s): -1.05, -2.09, ovf"
1748355692.4615374,"ID: 2056 | Temperatura: 26.30 C | Pressao: 1018.90 hPa | Accel [X,Y,Z]: -0.083, -0.139, 0.911 | Gyro [X,Y,Z] (°/s): -0.98, -2.20, ovf"
1748355693.589945,"ID: 2057 | Temperatura: 26.30 C | Pressao: 1018.90 hPa | Accel [X,Y,Z]: -0.086, -0.136, 0.918 | Gyro [X,Y,Z] (°/s): -1.06, -2.07, ovf"
1748355694.7198536,"ID: 2058 | Temperatura: 26.30 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.081, -0.136, 0.913 | Gyro [X,Y,Z] (°/s): -1.11, -2.23, ovf"
1748355695.8486075,"ID: 2059 | Temperatura: 26.30 C | Pressao: 1018.85 hPa | Accel [X,Y,Z]: -0.084, -0.136, 0.918 | Gyro [X,Y,Z] (°/s): -1.15, -2.25, ovf"
1748355696.9765334,"ID: 2060 | Temperatura: 26.30 C | Pressao: 1018.79 hPa | Accel [X,Y,Z]: -0.081, -0.138, 0.912 | Gyro [X,Y,Z] (°/s): -0.96, -2.33, ovf"
1748355698.1060905,"ID: 2061 | Temperatura: 26.30 C | Pressao: 1018.87 hPa | Accel [X,Y,Z]: -0.074, -0.132, 0.919 | Gyro [X,Y,Z] (°/s): -1.02, -2.15, ovf"
1748355699.2348151,"ID: 2062 | Temperatura: 26.30 C | Pressao: 1018.80 hPa | Accel [X,Y,Z]: -0.077, -0.133, 0.914 | Gyro [X,Y,Z] (°/s): -1.02, -2.15, ovf"
1748355700.364213,"ID: 2063 | Temperatura: 26.30 C | Pressao: 1018.87 hPa | Accel [X,Y,Z]: -0.078, -0.143, 0.926 | Gyro [X,Y,Z] (°/s): -1.18, -2.15, ovf"
1748355701.4938903,"ID: 2064 | Temperatura: 26.30 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.079, -0.134, 0.909 | Gyro [X,Y,Z] (°/s): -1.04, -2.21, ovf"
1748355702.6225636,"ID: 2065 | Temperatura: 26.30 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.073, -0.138, 0.907 | Gyro [X,Y,Z] (°/s): -0.82, -2.03, ovf"
1748355703.7518604,"ID: 2066 | Temperatura: 26.30 C | Pressao: 1018.85 hPa | Accel [X,Y,Z]: -0.087, -0.136, 0.910 | Gyro [X,Y,Z] (°/s): -0.98, -2.17, ovf"
1748355704.879646,"ID: 2067 | Temperatura: 26.30 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.084, -0.137, 0.916 | Gyro [X,Y,Z] (°/s): -0.79, -2.31, ovf"
1748355706.0085166,"ID: 2068 | Temperatura: 26.30 C | Pressao: 1018.79 hPa | Accel [X,Y,Z]: -0.082, -0.139, 0.902 | Gyro [X,Y,Z] (°/s): -0.98, -1.99, ovf"
1748355707.1372247,"ID: 2069 | Temperatura: 26.30 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.078, -0.133, 0.909 | Gyro [X,Y,Z] (°/s): -0.82, -2.22, ovf"
